Tempo;SOBRADINHO;ITAPARICA;MOXOTO;P. AFONSO 4;EMBORCAÇÃO;CORUMBA;ITUMBIARA;C. DOURADA;SÃO SIMÃO;BOA ESPERANÇA;TUCURUI;SERRA DA MESA;LAJEADO;ESTREITO;MARIMBONDO;AGUA VERMELHA;PORTO COLOMBIA;VOLTA GRANDE;FURNAS;SANTO ANTONIO;JIRAU;SAMUEL;BALBINA;JUPIÁ;PORTO PRIMAVERA;ILHA SOLTEIRA;ITAIPU;BARRA GRANDE;ITÁ;CAMPOS NOVOS;MACHADINHO;FOZ CHAPECO;G. B. MUNHOZ (FOZ DO AREIA);SALTO CAXIAS;SALTO OSORIO;SALTO SANTIAGO;SEGREDO
01/12/2015;1046;888;862;605;267;166;747;890;1459;204;2809;215;1036;1838;1198;1046;686;611;862;10759;11017;130;56;4033;5623;3307;17984;386;1955;442;1162;3110;1570;3838;2756;2560;1993
01/01/2016;1711;1192;846;815;656;425;1095;764;2257;709;7225;1456;3571;5002;2178;2424;965;715;1621;17813;17456;259;53;4514;6586;4190;20320;251;1236;331;850;1546;1524;2713;2160;2123;1823
01/02/2016;3203;804;792;773;355;280;874;463;1542;477;12740;842;1972;4052;1658;2007;754;554;1110;24841;23559;342;162;5915;7603;4764;15505;426;1428;471;1045;1944;968;2166;1537;1505;1328
01/03/2016;1139;764;836;703;352;440;1185;538;1824;339;12755;717;1503;2886;1930;2352;866;603;1130;32751;30667;654;530;6726;8598;4797;18173;277;1394;483;951;1818;1203;2415;1802;1785;1570
01/04/2016;636;734;762;733;189;255;770;884;1459;292;11354;291;841;2128;1281;1503;753;616;512;27445;25635;656;631;4961;6132;3492;11760;269;1134;330;821;1403;597;1534;1213;1176;1007
01/05/2016;466;754;797;791;169;189;701;1076;1509;215;5166;201;621;1315;1215;1347;776;681;398;21664;20145;288;731;4626;5983;3290;12421;201;1162;442;868;1460;766;1505;1129;1039;883
01/06/2016;400;791;775;767;170;187;738;814;1233;198;3033;124;748;1279;1268;1570;681;621;575;12591;11750;114;483;5398;6776;3605;15111;102;858;234;589;1112;995;1840;1484;1507;1270
01/07/2016;372;785;780;772;129;134;669;912;1195;169;2003;70;767;1165;1168;1528;827;812;296;6607;6246;46;397;5050;5974;3408;11236;468;1022;283;821;1160;657;1467;1146;1273;1084
01/08/2016;398;785;784;780;109;120;801;1017;1268;153;1549;96;728;1082;1117;1634;860;896;259;3784;3599;8;231;5100;5952;3830;11977;263;1216;332;842;1456;940;1715;1297;1316;1131
01/09/2016;402;777;794;780;80;94;717;1109;1255;149;1577;50;683;1020;1193;1390;938;1002;254;3361;3192;30;309;5072;5945;3650;10901;219;966;281;727;1267;702;1775;1428;1404;1217
01/10/2016;497;786;788;777;115;111;807;1270;1598;175;1498;135;560;1024;1240;1614;925;968;423;3818;3700;52;197;5531;6462;3675;11740;493;1303;396;938;1548;678;1520;1176;1055;886
01/11/2016;638;780;776;761;215;212;767;1128;1582;267;2315;374;712;1258;1399;1697;974;965;650;5775;5690;215;169;4688;5507;3792;10440;124;1050;226;735;1379;475;1356;1097;1007;900
01/12/2016;1517;725;708;696;350;331;1028;1045;1795;282;4224;428;913;1659;1720;1730;1160;1155;649;9143;9151;391;369;5914;7011;4092;11647;212;810;247;663;955;563;1674;1322;1188;1048
01/01/2017;805;942;711;705;243;200;933;1068;1832;310;6038;337;846;1795;1748;1782;1097;1069;772;19378;18966;546;752;5910;7280;4269;11806;284;1171;415;892;1353;956;1696;1330;1221;1129
01/02/2017;1143;679;689;663;292;265;866;838;1726;618;14862;712;1687;4215;1711;1961;1146;1019;533;23329;21618;660;977;5578;6980;3907;12037;135;898;215;642;1103;810;1679;1351;1293;1185
01/03/2017;938;627;710;685;212;201;935;976;1885;518;18549;524;1255;3404;1669;1723;1093;1073;543;32902;29609;960;1302;5573;6758;4339;11121;64;527;144;318;714;442;1400;1089;954;876
01/04/2017;812;708;636;605;120;174;620;457;1273;464;16614;451;1569;3657;1154;1438;798;776;316;32357;28537;712;1191;4521;5648;3360;10005;120;460;97;322;553;251;997;800;610;490
01/05/2017;448;666;645;621;119;117;587;301;891;276;8429;229;681;1559;1004;1279;560;493;379;26725;24402;377;966;4714;6158;3120;11141;541;1591;472;964;2322;600;833;395;530;399
01/06/2017;484;560;549;540;85;86;515;188;551;222;3915;120;578;1180;698;859;372;334;316;20310;19108;141;589;4318;5358;2445;12778;921;3916;1526;2848;4952;1161;1456;763;1426;1116
01/07/2017;399;563;541;532;69;79;511;454;716;168;2135;67;398;865;774;1226;548;583;214;11153;10710;64;473;4180;4968;2590;8875;77;725;131;532;911;214;1254;1095;1058;953
01/08/2017;368;555;553;547;65;82;500;1148;1330;162;1569;48;409;783;1012;1590;800;874;165;5728;5914;37;269;4483;5414;3274;9228;130;667;161;532;885;313;1294;1117;794;695
01/09/2017;318;564;511;503;48;119;753;1529;1662;133;1260;55;447;763;990;1409;874;961;123;4867;5098;29;342;5334;5903;3777;9133;59;530;74;368;738;152;1212;1115;544;473
